,release_year,duration
1071,2018,96
1072,2016,103
1073,2010,107
1074,2011,86
1077,2019,106
1078,2018,107
1079,2019,81
1080,2016,107
1081,2018,118
1082,2018,110
1084,2017,104
1086,2018,93
1088,2019,94
1093,2001,124
1094,2017,120
1096,2008,137
1097,2019,134
1098,2019,69
1099,2019,106
1100,2019,209
1103,2018,139
1104,2017,128
1105,2019,86
1106,2019,24
1107,2019,46
1110,2019,117
1111,2019,87
1112,2015,95
1113,2018,44
1114,2017,76
1115,2016,92
1117,2016,61
1118,2019,92
1119,1980,114
1120,2017,121
1122,2017,94
1123,2017,114
1124,2016,101
1127,1973,94
1128,2012,109
1129,1987,110
1131,2002,96
1134,2017,93
1135,2019,97
1138,2015,121
1139,2008,56
1142,2019,119
1144,2018,104
1146,2017,109
1148,2015,88
1149,2016,88
1150,2012,113
1151,2002,138
1153,2019,93
1154,2015,110
1156,2018,91
1157,2017,51
1158,2017,61
1159,2017,73
1160,2017,113
1161,2016,67
1162,2013,111
1164,2016,88
1165,1996,81
1166,1992,73
1167,2019,86
1168,2007,116
1169,2009,85
1170,2019,134
1171,2015,109
1172,2001,102
1173,1996,101
1175,2007,88
1176,1995,101
1177,2019,28
1178,2014,103
1179,2019,131
1180,1968,166
1181,2010,105
1182,1999,82
1183,2011,107
1184,2012,84
1185,1996,103
1186,2000,112
1187,2009,89
1188,1974,121
1189,2008,87
1190,1997,136
1191,1993,118
1193,2006,129
1194,2011,94
1195,2005,88
1196,2007,158
1199,2018,91
1200,2018,114
1201,2018,91
1203,2018,64
1204,2014,44
1205,2014,68
1207,2012,68
1208,2010,99
1209,2017,69
1210,2017,81
1211,2013,69
1212,2016,68
1213,2015,68
1214,2011,91
1215,2010,86
1216,2015,40
1217,2018,116
1219,2018,59
1220,2018,95
1222,2018,122
1223,2018,98
1224,2010,125
1225,2010,125
1226,2019,78
1229,2012,65
1230,2007,89
1231,2017,125
1232,2016,62
1233,2016,107
1235,2016,85
1236,2015,91
1237,2009,29
1242,2017,92
1243,2017,94
1244,2017,65
1245,2017,135
1246,2014,86
1249,2011,100
1250,2019,93
1251,2014,84
1252,2015,107
1253,2013,101
1254,2018,95
1256,2017,86
1258,2018,94
1259,2018,133
1260,2018,102
1262,2009,80
1264,2019,107
1265,2019,74
1266,2019,60
1267,2019,143
1268,2019,105
1271,2011,110
1272,2019,98
1274,2010,100
1277,2018,74
1278,2016,100
1280,2013,46
1283,2018,122
1285,2017,86
1286,2018,111
1287,2017,132
1288,2018,111
1289,2015,136
1290,2018,121
1291,2015,76
1292,2017,92
1293,2018,119
1294,2016,45
1295,2018,75
1296,2017,71
1297,2015,81
1298,2017,115
1299,2016,142
1301,2005,131
1305,2016,69
1306,2012,77
1308,2019,88
1309,2019,54
1311,2017,66
1312,2017,88
1313,2014,75
1314,2012,84
1316,2018,128
1317,2018,92
1319,2016,99
1320,2015,62
1322,2019,59
1323,2015,95
1324,2017,96
1325,2009,100
1327,2019,95
1328,2019,88
1329,2017,126
1331,2016,98
1334,2017,114
1335,2010,65
1337,2017,54
1338,2017,76
1339,2017,100
1341,2016,71
1343,2006,102
1344,1997,119
1345,2019,94
1348,1998,119
1349,2019,90
1350,2003,105
1351,2017,89
1353,1960,108
1354,1958,108
1355,2019,87
1356,2017,112
1357,2018,101
1358,1973,89
1359,2007,91
1360,1965,200
1361,2019,119
1362,2018,90
1363,1973,103
1364,2018,110
1365,1996,133
1366,1998,124
1367,1998,118
1368,2019,40
1369,1956,98
1370,2005,85
1371,1958,115
1372,2001,137
1373,2003,98
1374,1978,110
1376,2005,55
1378,2019,86
1379,2018,92
1380,2017,116
1381,1997,94
1382,2009,134
1383,1973,102
1384,2005,98
1385,2010,100
1386,1992,105
1387,1990,116
1388,1976,118
1389,1962,153
1390,1997,109
1391,2008,99
1393,1997,96
1394,2006,91
1395,1962,185
1396,2006,92
1397,1993,82
1398,1960,127
1399,2002,98
1401,1955,111
1402,2008,120
1403,1968,137
1404,1998,121
1405,1995,89
1406,2019,91
1407,1996,135
1408,1976,98
1409,2007,139
1410,2018,95
1411,2008,98
1412,1972,91
1413,2007,122
1414,2013,100
1415,1965,103
1416,1997,129
1417,2005,133
1418,2019,36
1419,2019,141
1420,1991,105
1421,2019,107
1422,1999,136
1423,2003,138
1424,2003,129
1425,2007,97
1426,1993,141
1427,2002,99
1428,1988,89
1429,2019,24
1430,2008,90
1433,2008,98
1434,2016,89
1435,2009,88
1436,2008,103
1437,2009,117
1438,2008,95
1439,2015,146
1440,2013,136
1441,2011,91
1442,2018,123
1443,2012,144
1444,1998,103
1446,2017,11
1447,2017,22
1448,2014,126
1449,2009,121
1450,2018,91
1451,2006,158
1452,2007,157
1453,2009,124
1454,2010,106
1455,2018,92
1456,2017,80
1457,2017,94
1458,2015,126
1460,2013,129
1462,2012,133
1463,2007,109
1464,2012,143
1465,2013,140
1466,2012,150
1467,2013,128
1468,2013,120
1469,2012,154
1470,2006,45
1471,2015,132
1472,2007,126
1473,2013,95
1474,2016,91
1475,2008,135
1476,2014,139
1477,2011,131
1478,2008,118
1479,2010,129
1480,2014,131
1481,2013,146
1482,2013,123
1483,2014,141
1484,2015,93
1485,2015,91
1487,2017,58
1488,2017,91
1489,2007,112
1490,2014,119
1491,2016,106
1492,2008,131
1493,2014,95
1494,2011,104
1495,2014,103
1496,1978,141
1497,2016,115
1498,2017,120
1499,2016,104
1500,2013,22
1501,2016,97
1502,2017,54
1503,2016,120
1504,2015,132
1505,2015,135
1507,2017,87
1508,2016,82
1509,2014,158
1510,2011,107
1511,2014,122
1512,2016,62
1513,2017,95
1515,2017,98
1521,2014,113
1522,2016,94
1523,2016,120
1524,2015,92
1525,2011,132
1526,2015,59
1533,2016,91
1534,2016,44
1535,2015,107
1536,1998,101
1537,1992,93
1538,2015,82
1539,1981,86
1540,1973,81
1541,2011,44
1542,2013,80
1543,1987,84
1544,2017,110
1545,2018,87
1546,2018,126
1547,2010,103
1548,2013,111
1549,2015,100
1550,2013,112
1551,2013,96
1552,2017,61
1562,2017,76
1563,2018,67
1564,2016,99
1565,2016,92
1566,2015,107
1570,2018,71
1573,2013,69
1574,2007,91
1575,2016,82
1576,2019,86
1577,2018,99
1578,2019,125
1579,2011,147
1580,2016,60
1581,2017,88
1582,2018,92
1584,2018,87
1585,2017,81
1586,2017,72
1587,2017,98
1589,2015,86
1590,2007,104
1592,2018,100
1593,2018,113
1594,2018,40
1595,2018,105
1596,2018,94
1597,2017,109
1598,2018,116
1599,2017,99
1601,2019,102
1602,2008,127
1603,2019,101
1606,2006,135
1607,2004,124
1608,2019,103
1609,2006,105
1610,2019,98
1611,2011,93
1612,2014,113
1613,2011,106
1615,2017,89
1616,2011,80
1617,2011,99
1618,2019,123
1619,2014,91
1620,2017,71
1621,2019,40
1624,2019,79
1625,2019,110
1627,2012,101
1628,2018,128
1629,2019,110
1632,2018,89
1633,2016,87
1634,2017,153
1635,2015,83
1636,2018,84
1637,2018,99
1638,2012,93
1642,2016,109
1644,2018,122
1645,2018,117
1647,2017,98
1648,2017,79
1649,2017,143
1650,2017,123
1651,2014,96
1654,2008,114
1655,2018,63
1656,2018,94
1657,2018,74
1658,2016,97
1659,2019,38
1661,2019,101
1662,2019,99
1663,2019,91
1665,2017,103
1666,2019,30
1667,2016,80
1668,2017,73
1670,2019,30
1671,2018,137
1673,2018,58
1677,2016,90
1682,2015,78
1683,2015,84
1684,2016,111
1685,2019,66
1686,2018,159
1688,2017,79
1689,2018,87
1690,2012,133
1691,2018,116
1692,2013,119
1694,2017,92
1695,2017,64
1696,2016,95
1697,2019,125
1698,2012,94
1699,2017,92
1701,2017,106
1704,2017,101
1706,2015,95
1707,2019,95
1708,2018,104
1709,2018,117
1713,2014,70
1714,2016,87
1715,2018,88
1716,2018,96
1718,2019,90
1719,2019,84
1720,2019,53
1721,2019,87
1723,2007,89
1724,2014,78
1725,2010,103
1726,2019,90
1727,2018,96
1728,2001,150
1729,2011,105
1730,2010,112
1731,2008,119
1732,2013,142
1733,2019,94
1734,2011,97
1735,2017,87
1736,2010,129
1737,1994,160
1738,2017,66
1739,2016,119
1740,2012,140
1741,2017,59
1742,2018,137
1743,2018,100
1744,2018,125
1746,2008,128
1747,2018,108
1750,2003,136
1751,2005,165
1752,2016,124
1753,2010,133
1754,2007,116
1755,2017,150
1756,2018,158
1757,2017,118
1758,1979,100
1759,2013,90
1761,1992,164
1763,2017,92
1764,1994,151
1765,2016,84
1766,2010,51
1767,1995,142
1769,2017,66
1770,2016,110
1771,2016,99
1772,2014,102
1773,2019,102
1774,2018,87
1776,2019,61
1777,2018,94
1779,2019,70
1780,2019,92
1781,2018,64
1782,2016,86
1783,2018,88
1785,2017,92
1787,2017,101
1788,2017,88
1789,2017,86
1790,2018,100
1791,2019,111
1792,2011,128
1794,2018,63
1796,2018,105
1798,2018,63
1799,2018,63
1800,2018,62
1801,2018,62
1802,2018,98
1807,2019,104
1808,2012,151
1809,2011,116
1810,2015,128
1811,2013,128
1812,2011,86
1813,2016,88
1814,2015,80
1815,2015,93
1816,2018,53
1817,2003,82
1818,2017,99
1819,2019,87
1820,2018,90
1821,2018,124
1822,2015,53
1823,2019,88
1824,2014,54
1825,2018,104
1826,2018,92
1828,2013,126
1829,2019,140
1830,2007,87
1831,1982,93
1833,2018,80
1834,2018,82
1835,2017,70
1836,2016,131
1837,2017,105
1840,2017,130
1841,2017,69
1842,2018,98
1843,2017,90
1844,2017,105
1845,2017,106
1846,2017,126
1848,2016,84
1849,2018,65
1851,2017,121
1852,2017,163
1855,2018,92
1856,2017,124
1857,2016,107
1858,2015,19
1859,2008,25
1860,2015,22
1861,2015,40
1862,2014,22
1863,2016,24
1865,2015,103
1866,2016,45
1868,2016,101
1871,2017,60
1872,2017,90
1873,2017,96
1874,2018,98
1875,2015,94
1876,2017,74
1877,2016,96
1878,2016,111
1879,2015,127
1880,2012,117
1881,2013,123
1882,2013,139
1883,2016,95
1884,1996,148
1885,2013,121
1886,2016,79
1887,2015,127
1888,2016,92
1889,2015,162
1890,1996,163
1891,2012,83
1892,2014,112
1893,2009,117
1894,2016,90
1895,2016,95
1896,2016,99
1897,2013,125
1899,2017,44
1900,2017,93
1901,2015,89
1902,2017,92
1903,2014,120
1904,2016,114
1905,2016,109
1906,2016,83
1907,2014,107
1908,2012,129
1909,2014,135
1910,2011,149
1911,2015,136
1912,2014,138
1913,1996,177
1914,2016,61
1915,2011,126
1916,2013,137
1917,2011,114
1918,2016,104
1919,2013,96
1920,2013,147
1921,2016,29
1922,2015,163
1923,2015,98
1924,2011,87
1927,2017,94
1928,2018,121
1929,2014,92
1930,2016,92
1931,2015,91
1932,2016,83
1933,2015,123
1934,2015,96
1937,2013,98
1941,2018,116
1944,2019,90
1945,2019,111
1947,2002,100
1949,2009,123
1950,2007,106
1951,2019,100
1953,2018,40
1954,1998,90
1955,2008,104
1956,2018,99
1957,2012,105
1958,2014,128
1959,2015,91
1960,2015,127
1962,2012,89
1963,2017,94
1964,2017,57
1965,2015,65
1968,2018,90
1969,1974,86
1970,2004,100
1972,1977,84
1973,2018,58
1974,2017,95
1975,2015,58
1976,2015,82
1978,2008,100
1979,2008,131
1980,2018,104
1981,2019,94
1982,2017,92
1983,2015,124
1984,2010,106
1985,2015,108
1986,2013,104
1987,2011,103
1988,2017,100
1989,2017,78
1990,2006,108
1992,2019,88
1993,2018,81
1997,2017,87
1999,2017,84
2000,2016,51
2001,2016,90
2003,2012,77
2004,2015,95
2005,1945,63
2006,1946,58
2009,1945,59
2011,1942,52
2012,1945,32
2013,1942,18
2014,2017,102
2017,1944,40
2019,1944,40
2020,1947,42
2021,1944,76
2022,1943,61
2023,1943,82
2026,1943,45
2027,2016,75
2031,2018,103
2032,2018,78
2033,2017,108
2035,2018,62
2036,2018,97
2037,2009,102
2038,2006,95
2040,2014,92
2041,2016,118
2042,2016,91
2043,2012,79
2044,2016,92
2046,2019,124
2047,2019,102
2050,2016,98
2051,2019,132
2052,2019,87
2055,2010,89
2056,2016,109
2059,2017,63
2060,2017,75
2061,2008,126
2062,2017,106
2064,2012,110
2065,2019,61
2066,2016,115
2067,2018,126
2069,2016,23
2070,2018,108
2071,2015,76
2072,2017,80
2073,2017,91
2074,2016,93
2075,2017,93
2077,2011,89
2078,2017,100
2080,2018,102
2081,2016,99
2082,2007,82
2083,2018,74
2085,2018,100
2086,2017,150
2087,2014,108
2091,2018,129
2093,2019,71
2096,2019,108
2097,2016,101
2098,2019,60
2101,2014,105
2102,2016,115
2103,2016,118
2104,2016,130
2105,2006,101
2106,2016,115
2107,2017,90
2108,2016,72
2110,2016,114
2111,2013,91
2112,2018,99
2113,2019,69
2115,2018,97
2117,2016,75
2120,2008,116
2121,2016,83
2122,2018,118
2123,2018,162
2124,2018,162
2125,2013,126
2127,2016,109
2128,2013,109
2129,2018,89
2130,2015,111
2133,2018,51
2134,2018,69
2135,2017,104
